"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Residential Land(Land Only)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Asahimachi","Toyosaka","14",10000000,"","200",50000,"Rectangular Shaped","13.0","","","","","Southeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Ayano","Hayadori","14",19000000,"","170",,"Rectangular Shaped","10.0","","","","","Northeast","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,150,"2nd quarter 2014",""
3,"Residential Land(Land Only)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Ayano","Hayadori","10",7000000,"","155",46000,"Semi-rectangular Shaped","15.0","","","","","Northeast","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,150,"2nd quarter 2014",""
4,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Ota","Toyosaka","11",6000000,"","210",,"Semi-rectangular Shaped","11.0","140","1980","W","House","North","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Ota","Toyosaka","11",8500000,"","380",22000,"Irregular Shaped","7.0","","","","","Northwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
6,"Agricultural Land","","15101","Niigata Prefecture","Kita Ward,Niigata City","Ota","","",800000,"","1000",,"","","","","","","","",,"",,,"2nd quarter 2014",""
7,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kabutoyama","Toyosaka","19",18000000,"","165",,"Rectangular Shaped","11.0","115","2006","W","House","Southeast","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
8,"Agricultural Land","","15101","Niigata Prefecture","Kita Ward,Niigata City","Kamidochigame","","",1600000,"","2000",,"","","","","","","","",,"",,,"2nd quarter 2014",""
9,"Agricultural Land","","15101","Niigata Prefecture","Kita Ward,Niigata City","Kamihorida","","",1900000,"","1900",,"","","","","","","","",,"",,,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kayama","Toyosaka","24",2200000,"","125",,"Rectangular Shaped","9.0","70","1985","","","Southeast","City Road",22.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
11,"Residential Land(Land Only)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kayama","Toyosaka","13",4900000,"","150",33000,"Irregular Shaped","8.0","","","","","Southwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
12,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kizaki","Toyosaka","1H-1H30",9500000,"","270",,"Semi-rectangular Shaped","11.0","125","1989","W","House","Southwest","City Road",5.5,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
13,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kizaki","Hayadori","30-60minutes",6800000,"","240",,"Semi-square Shaped","14.5","95","1981","W","House","North","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
14,"Residential Land(Land Only)","Commercial Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kizaki","Hayadori","30-60minutes",13000000,"","1000",13000,"Irregular Shaped","34.0","","","","","East","Prefectural Road",21.0,"Semi-residential District",60,200,"2nd quarter 2014",""
15,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kuzutsuka","Toyosaka","18",13000000,"","165",,"Rectangular Shaped","11.0","110","1991","W","House","Southeast","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
16,"Residential Land(Land Only)","Commercial Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kuzutsuka","Toyosaka","6",7000000,"","170",42000,"Semi-shaped","7.0","","","","","West","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
17,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kuzutsuka","Toyosaka","11",5500000,"","170",,"Semi-shaped","13.0","55","1973","","","Southeast","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
18,"Residential Land(Land Only)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kuzutsuka","Toyosaka","11",7900000,"","170",47000,"Semi-shaped","13.0","","","","","Southeast","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
19,"Residential Land(Land Only)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kuzutsuka","Toyosaka","6",4300000,"","160",27000,"Irregular Shaped","6.0","","","","","East","City Road",11.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
20,"Residential Land(Land and Building)","Commercial Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Kuzutsuka","Toyosaka","6",17000000,"","190",,"Semi-shaped","21.0","145","1969","W","House","Northwest","City Road",10.0,"Near Commercial District",80,200,"2nd quarter 2014",""
21,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Shimmotojimacho","Niizaki","30-60minutes",9500000,"","250",,"Rectangular Shaped","15.0","140","1981","W","House","Northwest","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
22,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Shimmotojimacho","Niizaki","30-60minutes",13000000,"","105",,"Rectangular Shaped","7.5","85","1989","W","House","Southwest","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,150,"2nd quarter 2014",""
23,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Sudo","Hayadori","18",11000000,"","165",,"Trapezoidal Shaped","12.0","105","1997","LS","House","South","City Road",14.0,"Category 1 Exclusive Mid-high Rise Residential District",60,150,"2nd quarter 2014",""
24,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Sumireno","Niizaki","9",11000000,"","190",,"Rectangular Shaped","12.0","105","1997","W","House","Northeast","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
25,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Tayuuhamashimmachi","Niizaki","1H-1H30",7000000,"","230",,"Semi-rectangular Shaped","13.0","130","1992","W","House","West","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
26,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Tayuuhamashimmachi","Niizaki","1H-1H30",16000000,"","210",,"Rectangular Shaped","11.0","120","1996","W","House","North","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
27,"Residential Land(Land Only)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Tayuuhamashimmachi","Niizaki","1H-1H30",7400000,"","230",32000,"Semi-rectangular Shaped","13.0","","","","","East","City Road",11.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
28,"Residential Land(Land Only)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Tarodai","Kuroyama","1H-1H30",4000000,"","650",5400,"Semi-trapezoidal Shaped","25.0","","","","","East","City Road",6.3,"Semi-industrial District",60,200,"2nd quarter 2014",""
29,"Residential Land(Land Only)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Toeicho","Toyosaka","18",10000000,"","1300",8100,"Irregular Shaped","11.0","","","","","Northeast","City Road",8.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014","Dealings in which auction or arbiter participates"
30,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Nishinametokoro","Niizaki","30-60minutes",4500000,"","380",,"Semi-trapezoidal Shaped","17.0","110","1965","W","House","Southeast","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
31,"Residential Land(Land Only)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Matsuhama","Niizaki","1H-1H30",2100000,"","340",6200,"Irregular Shaped","","","","","","West","City Road",7.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
32,"Residential Land(Land and Building)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Matsuhama","Niizaki","1H-1H30",2200000,"","165",,"Rectangular Shaped","11.0","90","1985","W","House","West","City Road",5.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
33,"Residential Land(Land Only)","Residential Area","15101","Niigata Prefecture","Kita Ward,Niigata City","Yanagihara","Toyosaka","15",4400000,"","155",29000,"Semi-rectangular Shaped","16.5","","","","","Northeast","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
34,"Agricultural Land","","15101","Niigata Prefecture","Kita Ward,Niigata City","Yokoi","","",700000,"","710",,"","","","","","","","",,"",,,"2nd quarter 2014",""
35,"Residential Land(Land and Building)","Residential Area","15102","Niigata Prefecture","Higashi Ward,Niigata City","Akibadoori","Niigata","30-60minutes",10000000,"","180",,"Rectangular Shaped","9.0","130","1970","W","House","Northwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
36,"Residential Land(Land Only)","Residential Area","15102","Niigata Prefecture","Higashi Ward,Niigata City","Awayama","Echigoishiyama","9",19000000,"","270",68000,"Rectangular Shaped","18.0","","","","","Northeast","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
37,"Residential Land(Land Only)","Residential Area","15102","Niigata Prefecture","Higashi Ward,Niigata City","Ishiyama","Echigoishiyama","10",17000000,"","170",100000,"Semi-rectangular Shaped","3.5","","","","","South","Prefectural Road",7.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
38,"Residential Land(Land Only)","Residential Area","15102","Niigata Prefecture","Higashi Ward,Niigata City","Oyachi","Ogata","20",9100000,"","240",37000,"Semi-square Shaped","15.0","","","","","North","Private Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings including private road"
39,"Residential Land(Land Only)","Residential Area","15102","Niigata Prefecture","Higashi Ward,Niigata City","Kamikido","Niigata","30-60minutes",19000000,"","260",72000,"Semi-rectangular Shaped","18.0","","","","","Northeast","City Road",16.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings including private road"
40,"Residential Land(Land and Building)","Commercial Area","15102","Niigata Prefecture","Higashi Ward,Niigata City","Kodoshimmachi","Niigata","1H-1H30",12000000,"","250",,"Semi-trapezoidal Shaped","24.0","","","","","Southwest","National Highway",14.5,"Category 2 Residential District",60,200,"2nd quarter 2014",""
41,"Residential Land(Land Only)","Residential Area","15102","Niigata Prefecture","Higashi Ward,Niigata City","Konan","Niigata","29",16000000,"","290",56000,"Irregular Shaped","19.5","","","","","Northwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
42,"Residential Land(Land and Building)","Residential Area","15102","Niigata Prefecture","Higashi Ward,Niigata City","Koganedai","Niigata","1H-1H30",7000000,"","185",,"Semi-rectangular Shaped","11.0","120","1965","W","House","North","City Road",7.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
43,"Residential Land(Land Only)","Residential Area","15102","Niigata Prefecture","Higashi Ward,Niigata City","Koganecho","Niigata","1H-1H30",10000000,"","250",40000,"Rectangular Shaped","13.0","","","","","South","City Road",11.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
