"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
1,"Agricultural Land","","32201","Shimane Prefecture","Matsue City","Aikacho","","",25000,"","115",,"","","","","","","","",,"",,,"2nd quarter 2014",""
2,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Agenogi","Nogi","18",10000000,"","110",,"Semi-rectangular Shaped","8.5","95","1988","W","House","Southeast","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
3,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Agenogi","Matsue","24",17000000,"","220",,"Trapezoidal Shaped","12.0","135","1988","W","House","Northwest","City Road",5.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
4,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Agenogi","Matsue","30-60minutes",13000000,"","185",71000,"Semi-rectangular Shaped","12.0","","","","","Southwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
5,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Agenogi","Matsue","30-60minutes",14000000,"","175",79000,"Semi-rectangular Shaped","11.0","","","","","South","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
6,"Residential Land(Land Only)","Commercial Area","32201","Shimane Prefecture","Matsue City","Agenogi","Matsue","30-60minutes",26000000,"","330",79000,"Semi-rectangular Shaped","15.0","","","","","West","Prefectural Road",11.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
7,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Agenogi","Matsue","30-60minutes",15000000,"","370",42000,"Semi-trapezoidal Shaped","13.6","","","","","Northeast","City Road",7.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
8,"Residential Land(Land and Building)","Commercial Area","32201","Shimane Prefecture","Matsue City","Isemiyacho","Matsue","8",67000000,"","510",,"Semi-trapezoidal Shaped","22.0","550","1979","S","Shop","West","City Road",4.0,"Commercial District",80,400,"2nd quarter 2014",""
9,"Residential Land(Land and Building)","Commercial Area","32201","Shimane Prefecture","Matsue City","Isemiyacho","Matsue","7",18000000,"","95",,"Semi-rectangular Shaped","8.6","290","1991","S","Office","North","City Road",13.5,"Commercial District",80,400,"2nd quarter 2014",""
10,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Uchinakabaracho","Matsue","30-60minutes",110000000,"","2,000 m^2 or greater.",,"Irregular Shaped","44.0","660","1962","RC","Housing Complex","North","City Road",5.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
11,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Uchinakabaracho","Matsue","30-60minutes",16000000,"","250",67000,"Semi-trapezoidal Shaped","7.0","","","","","West","City Road",4.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
12,"Residential Land(Land Only)","Potential Residential Area","32201","Shimane Prefecture","Matsue City","Onocho","Tsunomori","1",500000,"","470",1100,"Semi-trapezoidal Shaped","23.0","","","","","West","City Road",4.5,"Urbanization Control Area",60,200,"2nd quarter 2014",""
13,"Residential Land(Land Only)","Potential Residential Area","32201","Shimane Prefecture","Matsue City","Obacho","Matsue","30-60minutes",30000000,"","2,000 m^2 or greater.",5600,"Semi-shaped","50.0m or longer.","","","","","West","City Road",6.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
14,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Okudanicho","Matsue","30-60minutes",26000000,"","940",,"Semi-rectangular Shaped","18.0","85","","W","House","Southwest","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
15,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Okudanicho","Matsue","30-60minutes",1500000,"","50",31000,"Semi-rectangular Shaped","3.5","","","","","Southeast","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
16,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Onozecho","Tsunomori","1H-1H30",4500000,"","230",,"Semi-rectangular Shaped","12.0","195","1989","W","House","South","City Road",5.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
17,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Gakuen","Matsue","30-60minutes",22000000,"","250",,"Semi-rectangular Shaped","19.0","95","1965","","","Southeast","City Road",4.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
18,"Residential Land(Land and Building)","Commercial Area","32201","Shimane Prefecture","Matsue City","Gakuen","Matsue","30-60minutes",26000000,"","270",,"Semi-rectangular Shaped","11.0","200","1988","W","Shop","Northwest","City Road",16.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
19,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Gakuemminami","Matsue","18",14000000,"","145",100000,"Semi-rectangular Shaped","7.0","","","","","Northeast","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
20,"Pre-owned Condominiums, etc.","","32201","Shimane Prefecture","Matsue City","Gakuemminami","Matsue","16",21000000,"3LDK","90",,"","","","2001","SRC","House","","",,"Category 2 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
21,"Agricultural Land","","32201","Shimane Prefecture","Matsue City","Kamiubeocho","","",34000000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014",""
22,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Kamihigashikawatsucho","Matsue","30-60minutes",18000000,"","250",,"Rectangular Shaped","14.8","140","1995","W","House","North","City Road",6.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
23,"Residential Land(Land Only)","Potential Residential Area","32201","Shimane Prefecture","Matsue City","Kuyacho","Matsue","30-60minutes",17000000,"","920",18000,"Semi-rectangular Shaped","40.0","","","","","Northeast","City Road",4.0,"Urbanization Control Area",40,100,"2nd quarter 2014",""
24,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Kuyacho","Matsueshinjikoonsen","13",11000000,"","200",53000,"Semi-rectangular Shaped","13.3","","","","","South","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
25,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Kuyacho","Matsueshinjikoonsen","13",11000000,"","200",53000,"Semi-rectangular Shaped","13.5","","","","","South","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
26,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Koshibara","Matsue","30-60minutes",8800000,"","260",,"Rectangular Shaped","19.0","115","1968","W","House","Northeast","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
27,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Koshibara","Matsue","30-60minutes",6500000,"","135",48000,"Semi-rectangular Shaped","9.0","","","","","South","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
28,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Koshibara","Matsue","30-60minutes",25000000,"","185",,"Semi-rectangular Shaped","11.0","105","2014","W","House","Northeast","Private Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
29,"Residential Land(Land and Building)","Commercial Area","32201","Shimane Prefecture","Matsue City","Saikamachi","Matsue","16",5100000,"","65",,"Semi-rectangular Shaped","6.0","95","","W","House, Shop","West","National Highway",11.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
30,"Agricultural Land","","32201","Shimane Prefecture","Matsue City","Shimanechoowashi","","",5600000,"","2000",,"","","","","","","","",,"",,,"2nd quarter 2014",""
31,"Forest Land","","32201","Shimane Prefecture","Matsue City","Shimanechonoi","","",160000,"","630",,"","","","","","","","",,"",,,"2nd quarter 2014",""
32,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Shimohigashikawatsucho","Matsue","30-60minutes",9500000,"","200",47000,"Semi-trapezoidal Shaped","12.0","","","","","North","City Road",6.0,"Urbanization Control Area",60,100,"2nd quarter 2014",""
33,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Shimohigashikawatsucho","Matsue","30-60minutes",500000,"","70",7200,"Semi-rectangular Shaped","2.3","","","","","Southeast","City Road",4.5,"Urbanization Control Area",60,80,"2nd quarter 2014",""
34,"Residential Land(Land Only)","Industrial Area","32201","Shimane Prefecture","Matsue City","Shinjichosasou","Shinji","1H-1H30",9200000,"","680",14000,"Semi-rectangular Shaped","","","","","","East","City Road",6.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
35,"Residential Land(Land Only)","Industrial Area","32201","Shimane Prefecture","Matsue City","Shinjichosasou","Shinji","1H-1H30",25000000,"","1800",14000,"Semi-trapezoidal Shaped","","","","","","East","City Road",6.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
36,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Shinjichosasou","Shinji","30-60minutes",6100000,"","310",,"Square Shaped","17.0","120","1980","W","","Northwest","City Road",5.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
37,"Forest Land","","32201","Shimane Prefecture","Matsue City","Shinjichosasou","","",7300000,"","5000 m^2 or greater.",,"","","","","","","","",,"",,,"2nd quarter 2014",""
38,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Shinjichoshowa","Shinji","6",5500000,"","160",35000,"Semi-rectangular Shaped","9.0","","","","","Southeast","City Road",6.6,"Category 1 Residential District",60,200,"2nd quarter 2014",""
39,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Shinjichoshinji","Shinji","10",8900000,"","270",32000,"Semi-rectangular Shaped","17.5","","","","","Southwest","City Road",7.0,"Category 1 Exclusive Mid-high Rise Residential District",60,150,"2nd quarter 2014",""
40,"Residential Land(Land and Building)","Commercial Area","32201","Shimane Prefecture","Matsue City","Shinjichohakuishi","Shinji","29",30000000,"","1600",,"Semi-rectangular Shaped","30.0","210","1987","W","Office","Southwest","National Highway",14.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
41,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Sunagocho","Matsueshinjikoonsen","10",12000000,"","185",62000,"Irregular Shaped","9.5","","","","","East","Private Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
42,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Dairincho","Matsue","28",12000000,"","100",,"Semi-rectangular Shaped","8.0","75","2009","W","House","East","Private Road",5.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
43,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Tamayuchoodani","Tamatsukurionsen","1H-1H30",4000000,"","630",6400,"Semi-shaped","34.0","","","","","Northwest","Prefectural Road",7.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
44,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Tamayuchoyumachi","Tamatsukurionsen","5",6700000,"","230",29000,"Semi-rectangular Shaped","10.0","","","","","South","Prefectural Road",6.4,"Category 2 Residential District",60,200,"2nd quarter 2014",""
45,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Tamayuchoyumachi","Tamatsukurionsen","6",42000000,"","930",45000,"Semi-rectangular Shaped","15.0","","","","","West","City Road",10.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
46,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Tamayuchoyumachi","Matsue","10",8300000,"","175",47000,"Semi-rectangular Shaped","12.0","","","","","South","City Road",5.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
47,"Forest Land","","32201","Shimane Prefecture","Matsue City","Chikuyacho","","",60000,"","100",,"","","","","","","","",,"",,,"2nd quarter 2014",""
48,"Agricultural Land","","32201","Shimane Prefecture","Matsue City","Nishiimbecho","","",120000,"","230",,"","","","","","","","",,"",,,"2nd quarter 2014",""
49,"Forest Land","","32201","Shimane Prefecture","Matsue City","Nishiimbecho","","",8000000,"","4900",,"","","","","","","","",,"",,,"2nd quarter 2014",""
50,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Nishikawatsucho","Matsue","30-60minutes",22000000,"","175",,"Semi-rectangular Shaped","10.0","95","1996","W","House","Northwest","City Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",50,200,"2nd quarter 2014",""
51,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Nishikawatsucho","Matsue","30-60minutes",11000000,"","390",28000,"Irregular Shaped","4.7","","","","","East","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",60,100,"2nd quarter 2014",""
52,"Residential Land(Land Only)","Potential Residential Area","32201","Shimane Prefecture","Matsue City","Nishikawatsucho","Matsue","30-60minutes",10000000,"","510",20000,"Semi-trapezoidal Shaped","27.0","","","","","Northwest","National Highway",26.0,"Category 1 Exclusive Low Rise Residential District",60,100,"2nd quarter 2014",""
53,"Pre-owned Condominiums, etc.","","32201","Shimane Prefecture","Matsue City","Nishikawatsucho","Matsue","28",9000000,"3LDK","60",,"","","","1990","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
54,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Nishitsuda","Matsue","18",28000000,"","380",,"Semi-rectangular Shaped","24.0","145","2000","W","House","South","City Road",4.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
55,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Nishitsuda","Matsue","18",63000000,"","810",,"Semi-rectangular Shaped","33.0","360","1998","RC","Housing Complex","Southeast","Private Road",4.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
56,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Noshiracho","Matsue","1H-1H30",8500000,"","400",21000,"Semi-trapezoidal Shaped","17.0","","","","","North","City Road",9.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
57,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Hamasadacho","Matsueshinjikoonsen","30-60minutes",11000000,"","320",34000,"Semi-shaped","30.0","","","","","Northeast","City Road",5.0,"Urbanization Control Area",60,100,"2nd quarter 2014",""
58,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Hamanogi","Nogi","8",34000000,"","195",,"Rectangular Shaped","10.0","120","2014","W","House","Southwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
59,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Hamanogi","Nogi","10",8500000,"","200",,"Irregular Shaped","9.0","115","1966","W","House, Shop","Northwest","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
60,"Pre-owned Condominiums, etc.","","32201","Shimane Prefecture","Matsue City","Higashiasahimachi","Matsue","13",19000000,"3LDK","70",,"","","","2003","RC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
61,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Higashiikumacho","Matsue","1H-1H30",15000000,"","300",49000,"Semi-rectangular Shaped","18.0","","","","","South","City Road",6.0,"Urbanization Control Area",70,200,"2nd quarter 2014",""
62,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Higashiizumochoiuhigashi","Iya","23",7000000,"","210",33000,"Rectangular Shaped","12.5","","","","","Northeast","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
63,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Higashiizumochoiya","Iya","4",1100000,"","100",11000,"Irregular Shaped","6.0","","","","","No facing road","",,"Category 1 Residential District",60,200,"2nd quarter 2014",""
64,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Higashiizumochoiya","Iya","9",4000000,"","180",22000,"Rectangular Shaped","14.0","","","","","East","City Road",9.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
65,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Higashiizumochoiya","Iya","6",2000000,"","75",27000,"Semi-rectangular Shaped","7.0","","","","","South","City Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
66,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Higashiizumochoiya","Iya","26",21000000,"","175",,"Rectangular Shaped","12.0","110","2012","W","House","North","City Road",6.0,"Industrial District",60,200,"2nd quarter 2014",""
67,"Residential Land(Land Only)","Commercial Area","32201","Shimane Prefecture","Matsue City","Higashiizumochoiya","Iya","8",5000000,"","70",44000,"Semi-rectangular Shaped","15.0","","","","","South","National Highway",12.0,"Near Commercial District",80,200,"2nd quarter 2014",""
68,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Higashiizumochoiya","Iya","9",6000000,"","200",30000,"Semi-rectangular Shaped","12.0","","","","","West","City Road",4.0,"Near Commercial District",80,200,"2nd quarter 2014",""
69,"Agricultural Land","","32201","Shimane Prefecture","Matsue City","Higashiizumochoshimoito","","",570000,"","2300",,"","","","","","","","",,"",,,"2nd quarter 2014",""
70,"Agricultural Land","","32201","Shimane Prefecture","Matsue City","Higashiizumochoshimoito","","",550000,"","2200",,"","","","","","","","",,"",,,"2nd quarter 2014",""
71,"Residential Land(Land Only)","Industrial Area","32201","Shimane Prefecture","Matsue City","Higashiizumochonishikihama","Iya","23",58000000,"","2,000 m^2 or greater.",18000,"Rectangular Shaped","42.0","","","","","West","City Road",12.0,"Industrial District",60,200,"2nd quarter 2014",""
72,"Pre-owned Condominiums, etc.","","32201","Shimane Prefecture","Matsue City","Higashichamachi","Matsue","20",14000000,"2LDK","55",,"","","","1997","RC","House","","",,"Commercial District",80,500,"2nd quarter 2014","Dealings of non-redecorating real estate"
73,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Higashitsudacho","Matsue","30-60minutes",9900000,"","200",49000,"Semi-trapezoidal Shaped","11.4","","","","","Southeast","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
74,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Hokkicho","Matsue","30-60minutes",16000000,"","330",48000,"Semi-rectangular Shaped","","","","","","North","Private Road",4.5,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
75,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Hokkicho","Matsue","30-60minutes",8000000,"","185",,"Semi-rectangular Shaped","13.0","45","1951","W","House","Northeast","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
76,"Residential Land(Land and Building)","Industrial Area","32201","Shimane Prefecture","Matsue City","Makatacho","Higashimatsue (Shimane)","21",33000000,"","570",,"Semi-trapezoidal Shaped","16.5","420","","S","Factory, Office","Southwest","National Highway",14.5,"Semi-industrial District",60,200,"2nd quarter 2014",""
77,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Makatacho","Matsue","1H-1H30",14000000,"","190",,"Semi-rectangular Shaped","9.0","70","2008","W","House","East","City Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
78,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Minamitamachi","Matsue","15",24000000,"","330",72000,"Semi-rectangular Shaped","","","","","","East","City Road",6.7,"Near Commercial District",60,200,"2nd quarter 2014",""
79,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Minamitamachi","Matsue","18",9300000,"","230",41000,"Semi-rectangular Shaped","6.5","","","","","West","City Road",6.7,"Near Commercial District",80,150,"2nd quarter 2014","Dealings between related objects"
80,"Residential Land(Land Only)","Commercial Area","32201","Shimane Prefecture","Matsue City","Minamitamachi","Matsue","16",24000000,"","220",110000,"Semi-rectangular Shaped","14.7","","","","","North","Prefectural Road",30.0,"Near Commercial District",80,200,"2nd quarter 2014",""
81,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Mihonosekichochikumi","","",320000,"","40",7600,"Semi-trapezoidal Shaped","15.7","","","","","East","Prefectural Road",8.5,"Outside Urban Planning Area",,,"2nd quarter 2014",""
82,"Residential Land(Land Only)","Residential Area","32201","Shimane Prefecture","Matsue City","Mihonosekichomoriyama","","",6800000,"","770",8800,"Semi-trapezoidal Shaped","20.0","","","","","Southeast","National Highway",7.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
83,"Residential Land(Land Only)","Industrial Area","32201","Shimane Prefecture","Matsue City","Yadacho","Yasugi","1H-1H30",6600000,"","260",25000,"Semi-rectangular Shaped","8.5","","","","","North","City Road",6.0,"Industrial District",50,200,"2nd quarter 2014",""
84,"Agricultural Land","","32201","Shimane Prefecture","Matsue City","Yatsukachoosoe","","",700000,"","560",,"","","","","","","","",,"",,,"2nd quarter 2014",""
85,"Agricultural Land","","32201","Shimane Prefecture","Matsue City","Yatsukachohanyu","","",4000000,"","730",,"","","","","","","","",,"",,,"2nd quarter 2014",""
86,"Residential Land(Land and Building)","Residential Area","32201","Shimane Prefecture","Matsue City","Yamashirocho","Matsue","1H-1H30",19000000,"","270",,"Semi-trapezoidal Shaped","20.0","120","1975","W","House","South","City Road",5.5,"Category 1 Exclusive Low Rise Residential District",60,100,"2nd quarter 2014",""
87,"Residential Land(Land and Building)","Commercial Area","32201","Shimane Prefecture","Matsue City","Yomeshimacho","Nogi","10",70000000,"","1300",,"Rectangular Shaped","20.0","730","1971","S","Office","Northwest","City Road",14.0,"Commercial District",80,400,"2nd quarter 2014",""
88,"Residential Land(Land Only)","Residential Area","32202","Shimane Prefecture","Hamada City","Asahichomarubara","Hamada","2H-",9200000,"","920",10000,"Semi-rectangular Shaped","45.0","","","","","West","Prefectural Road",9.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
89,"Residential Land(Land and Building)","Commercial Area","32202","Shimane Prefecture","Hamada City","Ushiichicho","Hamada","11",3700000,"","190",,"Irregular Shaped","9.0","150","before the war","W","House, Shop","Northwest","City Road",18.0,"Commercial District",80,400,"2nd quarter 2014",""
90,"Residential Land(Land Only)","Residential Area","32202","Shimane Prefecture","Hamada City","Oriicho","Orii","1",300000,"","100",3000,"Semi-rectangular Shaped","15.0","","","","","No facing road","",,"Outside Urban Planning Area",,,"2nd quarter 2014",""
91,"Residential Land(Land Only)","Residential Area","32202","Shimane Prefecture","Hamada City","Kataniwacho","Hamada","25",3500000,"","125",29000,"Rectangular Shaped","5.0","","","","","South","City Road",6.0,"Near Commercial District",80,300,"2nd quarter 2014",""
92,"Forest Land","","32202","Shimane Prefecture","Hamada City","Kanagichooibara","","",59000,"","590",,"","","","","","","","",,"",,,"2nd quarter 2014",""
93,"Forest Land","","32202","Shimane Prefecture","Hamada City","Kanagichooibara","","",13000,"","130",,"","","","","","","","",,"",,,"2nd quarter 2014",""
94,"Forest Land","","32202","Shimane Prefecture","Hamada City","Kanagichooibara","","",38000,"","380",,"","","","","","","","",,"",,,"2nd quarter 2014",""
95,"Agricultural Land","","32202","Shimane Prefecture","Hamada City","Kanagichoshimokurubara","","",1000000,"","1000",,"","","","","","","","",,"",,,"2nd quarter 2014",""
96,"Residential Land(Land Only)","Residential Area","32202","Shimane Prefecture","Hamada City","Kurokawacho","Hamada","11",9000000,"","175",51000,"Semi-trapezoidal Shaped","19.5","","","","","East","City Road",10.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
